"fare_id","route_id","origin_id","destination_id","contains_id"
"100606-FP2","100606-6T","","",""
"100606-FP","100606-6U","","",""
"100606-FP","100606-6V","","",""
"100606-FP2","100606-7A","","",""
"100606-FP","100606-7B","","",""
"100606-FP","100606-7C","","",""
"100606-FP","100606-7D","","",""
"100606-FP","100606-7E","","",""
"100606-FP","100606-7F","","",""
"100606-FP","100606-7P","","",""
"100606-FP2","100606-7Q","","",""
"100606-FP","100606-8A","","",""
"100606-FP2","100606-8C","","",""
"100606-FP","100606-8D","","",""
"100606-FP","100606-8E","","",""
"100606-FP","100606-9A","","",""
"100606-FP","100606-9C","","",""
"100606-FP","100606-9D","","",""
"100606-FP","100606-9E","","",""
"100606-FP","100606-9F","","",""
"100606-FP2","100606-9H","","",""
"100606-FP","100606-B11","","",""
"100606-PP","100606-B13","","",""
"100606-PP","100606-B14","","",""
"100606-FP","100606-B21","","",""
"100606-GR","100606-BW4","","",""
"100606-FP","100606-D11","","",""
"100606-FP2","100606-D21","","",""
"100606-PP","100606-D31","","",""
"100606-PP","100606-D32","","",""
"100606-FP","100606-M1","","",""
"100606-FP","100606-M10","","",""
"100606-FP","100606-M11","","",""
"100606-FP","100606-M12","","",""
"100606-FP","100606-M13","","",""
"100606-FP","100606-M2","","",""
"100606-FP","100606-M3","","",""
"100606-FP","100606-M4","","",""
"100606-FP","100606-M5","","",""
"100606-FP","100606-M6","","",""
"100606-FP","100606-M7","","",""
"100606-FP","100606-M8","","",""
"100606-FP","100606-M9","","",""
"100606-FP","100606-S11","","",""
"100606-FP","100606-S21","","",""
"100606-FP","100606-S22","","",""
"100606-FP","100606-T11","","",""
"100606-FP","100606-14A","","",""
"100606-FP","100606-14B","","",""
"100606-PP","100606-1T","","",""
"100606-FP","100606-3H","","",""
"100606-FP","100606-6K","","",""
"100606-FP","100606-7R","","",""
"100606-FP","100606-7T","","",""
"100606-FP","100606-7U","","",""
"100606-FP","100606-7V","","",""
"100606-FP","100606-7W","","",""
"100606-FP","100606-9N","","",""
"100606-GR","100606-BW1","","",""
"100606-GR","100606-BW9","","",""
"100606-FP","100606-M14","","",""
"100606-PP3","100606-S13","","",""
"100606-PP3","100606-S14","","",""
"100606-GR","100606-SH1","","",""
"100606-FP","100606-T12","","",""
"100606-GR","100606-JAK.01","","",""
"100606-GR","100606-JAK.02","","",""
"100606-GR","100606-JAK.03","","",""
"100606-GR","100606-JAK.04","","",""
"100606-GR","100606-JAK.05","","",""
"100606-GR","100606-JAK.06","","",""
"100606-GR","100606-JAK.07","","",""
"100606-GR","100606-JAK.08","","",""
"100606-GR","100606-JAK.09","","",""
"100606-GR","100606-JAK.10","","",""
"100606-GR","100606-JAK.10A","","",""
"100606-GR","100606-JAK.10B","","",""
"100606-GR","100606-JAK.11","","",""
"100606-GR","100606-JAK.112","","",""
"100606-GR","100606-JAK.117","","",""
"100606-GR","100606-JAK.12","","",""
"100606-GR","100606-JAK.13","","",""
"100606-GR","100606-JAK.14","","",""
"100606-GR","100606-JAK.15","","",""
"100606-GR","100606-JAK.16","","",""
"100606-GR","100606-JAK.17","","",""
"100606-GR","100606-JAK.18","","",""
"100606-GR","100606-JAK.19","","",""
